2019-12-12 10:01:54,259 +0700 [main] INFO  (DriverManagerConnectionProviderImpl.java:249) - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-12-12 10:01:54,372 +0700 [main] INFO  (Dialect.java:172) - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2019-12-12 10:05:36,240 +0700 [main] INFO  (Version.java:46) - HHH000412: Hibernate Core {5.4.9.Final}
2019-12-12 10:05:37,341 +0700 [main] INFO  (HibernateUtilities.java:17) - Hibernate Configuration loaded
2019-12-12 10:05:37,352 +0700 [main] INFO  (HibernateUtilities.java:20) - Hibernate serviceRegistry created
2019-12-12 10:05:37,397 +0700 [main] INFO  (JavaReflectionManager.java:49) - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-12-12 10:05:38,424 +0700 [main] WARN  (DriverManagerConnectionProviderImpl.java:72) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-12-12 10:05:38,432 +0700 [main] INFO  (DriverManagerConnectionProviderImpl.java:115) - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://scorpio.sofco:6543/dbtraining]
2019-12-12 10:05:38,433 +0700 [main] INFO  (DriverManagerConnectionProviderImpl.java:124) - HHH10001001: Connection properties: {password=****, user=sofco}
2019-12-12 10:05:38,433 +0700 [main] INFO  (DriverManagerConnectionProviderImpl.java:129) - HHH10001003: Autocommit mode: false
2019-12-12 10:05:38,437 +0700 [main] INFO  (DriverManagerConnectionProviderImpl.java:249) - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-12-12 10:05:38,552 +0700 [main] INFO  (Dialect.java:172) - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2019-12-12 10:06:41,922 +0700 [main] INFO  (Version.java:46) - HHH000412: Hibernate Core {5.4.9.Final}
2019-12-12 10:06:42,824 +0700 [main] INFO  (HibernateUtilities.java:17) - Hibernate Configuration loaded
2019-12-12 10:06:42,835 +0700 [main] INFO  (HibernateUtilities.java:20) - Hibernate serviceRegistry created
2019-12-12 10:06:42,876 +0700 [main] INFO  (JavaReflectionManager.java:49) - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-12-12 10:06:43,880 +0700 [main] WARN  (DriverManagerConnectionProviderImpl.java:72) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
